"DESCRIPTION","SKILL","SKILL_ACTIVE","TARGET"
"OUTER RIGHT WING BOTTOM SKIN PUMP APERTURES PAINT HAS PEEL OFF",,"WSPT","4"
"LH FLAP CANOE #4 AND CANOE #3 BONDING HA",,"AP","0"
"ATA 731241 CLASS 2 FUEL PUMP (E1-5050EB)",,,"9"
"FWD CARGO DOOR SELECTOR VALVE FOUND LEAK",,,"9"
"FWD CARGO SIDEWALL 131WW NEED REPAINT",,,"9"
"FWD CARGO SIDEWALL 132FX FOUND DELAMINATION",,,"9"
"REF PFR ATA 307000 CLASS 1 HEATR 102/WIPCU AFT (200DW)",,,"9"
"P8 LIGHT CONTROL PANEL PEEL OFF AT FLIGH","EA,WSPT","EA","1"
"3EA MEDIUM TOGGLE SWITCH CUSHIONS MISSIN","EA","EA","1"
"FWD CARGO SOME PLATE NUT AT SIDEWALL AND","STR","STR","3"
"ROBBING LH AILERON SERVO CONTROL PN:3107",,,"9"
"LH WING LOWER SURFACE RIB 6 FASTENER HEA",,,"9"
"RH FIX FAIRING #5 RUBBER SEAL WAS TORN",,,"9"
"LH WING MOVEABLE FAIRING #4 EROSION",,,"9"
"FWD LH & RH DOOR DRIMPLE OF FLOOR WERE C",,,"9"
"AFT CARGO SIDEWALL PANEL 152UW HAS DELAMINATION AND STICKER HAS BAD CONDITION",,,"9"
"ENG PYLON 2 REAR LOWER FASTENER / SCREW",,,"9"
"ENG#1 BOTH T/R UPPER SIDE INSULATION BLA","AP,STR,WSST","AP","0"
"REF CML C51 FOOTREST COVER C-CLASS BAD C",,,"9"
"REF CML C50 MOVEABLE ARMCAP C-CLASS STAI",,,"9"
"FLUSHING SWITCH POS. L76 NOT PROPER INST",,,"9"
"LIGHTENING STRIKE AT RUDDER BETWEEN STA",,,"9"
"ENG#1 BONDING STRAP CRACK AT CABLE INTER",,,"9"
"LH WING MOVABLE FAIRING #5 WAS EROSION",,,"9"
"ENG#1 PYLON PNL 451BR PLATE NUT BROKEN 1EA",,,"9"
"ENG#1 IDG PLUG LANYARD BROKEN 2 EA",,,"9"
"ALL GALLEY AND LAVATORY FLOORMAT NEED RESEALANT",,,"9"
"RH WING FIX FAIRING #4 FOUND EROSION AT COVER PANEL WITH L/W = 60/3 MM",,,"9"
"FWD CARGO ROOLER TRACK #5 HAS CORROSION","AP,NA,STR","AP","0"
"CAP COVER SUPPORT ARM DOOR 2RH(2EA),4RH(1EA) NOT INSTALL",,,"9"
"AFT CARGO ROLLER TRACK #24 HAS CORROSION",,,"9"
"RH WING FIX FAIRING #3 RUBBER SEAL AT SIDE AND FWD POSITION WAS TEAR OFF",,,"9"
"MAGAZINE POCKET LH AND CTR PARTITION ZONE#A NOT PROPERLY INSTALLED 2EA",,,"9"
"LH WING AERODYNAMIC SEAL SLAT #1 I/B POSITION WAS TEAR OFF",,,"9"
"RH WING FUEL PUMP CABLE TIE REP MISSING 1EA",,,"9"
"LH WING FUEL PUMP FAIRING SCREW HEAD BAD CONDITION 10EA",,,"9"
"FWD CARGO SIDEWALL WASHER NOT INSTALL 50EA",,,"9"
"RH WING AILERON SCREW HEAD DAMAGED 5EA",,,"9"
"ENG#1 FUEL FEED CLAMP PN A2821501200000 BROKEN",,,"9"
"R/H WING SLAT SEAL BETWEEN SLAT#4 AND #5 TEAR OFF",,,"9"
"C91 B2 FLOOR PANEL 232 BF WAS DELAMINATE",,,"9"
"LH WING I/B FLAP I/B SIDE DENT AT SEVERAL PLACE",,,"9"
"RH LOWER FUSELAGE SKIN EXISTING DOUBLER",,,"9"
"REF CML C93 FWD WALL GALLEY 5&6 LAMINATE",,,"9"
"RH WING TRACK #2 FWD LUG FITTING BOLT AND NUT CORROSION",,,"9"
"RH AND LH HORSTAB PANEL SCREW & WASHER CORROSION 100 EA",,,"9"
"RH WING I/B AILERON UPPER SURFACE STRIP PLATE NEED RESEALANT AT I/B SIDE",,,"9"
"REF CML C10 LAMINATE OF SIDEWALL WERE SC",,,"9"
"TRIM AIR PRESSURE REGULATING VALVE TAKEN FOR SERVICE PK-GLQ",,"EA","1"
"CABIN AREA FR 73.5 Y 1456 - Y 1959 FLOOR SUPPORT CORROSION",,,"9"
"KNOBS AT COCKPIT PEDESTAL PAINT PEEL OFF 10 EA",,,"9"
"FWD CARGO DOOR LINING HAS CRACK AT LOWER",,,"9"
"L/H WING SLAT#1 L/E SCRATCH",,,"9"
"WHEEL #2 LH MAIN L/G FOUND DEEP CUT",,,"9"
"FLOOR PANEL POS. FR.C33 - C36 CTR CROSS AISLE DOOR#2 DRY SEAL BROKE",,,"9"
"RETAINER STATIC DISCHARGE TYPE B AT LH WING TIP WAS BURN MARK",,,"9"
"C59 B4 LATERAL LIGHT CENTER WERE PEEL OF",,,"9"
"LH FUSELAGE SKIN FOUND BURNMARK BETWEEN",,,"9"
"COVER SHROUD BUMPER ON WALL MISSING AT L",,,"9"
"CML C85 FLOOR PANEL 232DF WAS DELAMINATE",,,"9"
"FOURTH OCCUPANT SEAT PAINT PEEL OFF",,,"9"
"LH WING TANK PANEL 541KB NEED REPLACE GASKET AND O-RING (BROKEN).",,,"9"
"LH WING TANK PANEL 541MB NEED REPLACE GASKET AND O-RING (BROKEN).",,,"9"
"LH WING TANK PANEL 541SB NEED REPLACE GASKET AND O-RING (BROKEN).",,,"9"
"C03 B5 AIR GRILL OF DUCT OUTLET INSTL-FO",,,"9"
"LH WING TANK PANEL 550BB NEED REPLACE O-RING (BROKEN).",,,"9"
"WASHER CARGO DOOR PANEL 822BR & 822AR BAD CONDITION 30EA",,,"9"
"C16 B5 HANDSET AND CRADLE COCKPIT WAS UNSERVICEABLE",,,"9"
"PYLON #1 PRECOOLER SEAL BROKEN",,,"9"
"APU INNER EXHAUST MUFFLER CRACK",,,"9"
"LH ELEVATOR CONNECTOR FIN 83QT1-A CORROSION",,,"9"
"WING TRAILING EDGE ACCESS PANEL HEAD-SCREW DAMAGE 40EA",,,"9"
"LH WING TANK RIB 1 & 2 BONDING CABLE FRAYING 5 EA",,,"9"
"LH WING TANK RIB 3 & 4 BONDING CABLE FRAYED 1 EA",,,"9"
"LH WING SLAT PANEL 522JB EROSION",,,"9"
"C23 B5 SEAL RUBBER SIDE CEILING WERE TEAR OFFPOST: 252MC,261NC,262JC,262LC,262MC,251LC,251GC,241AC,251QC,251NC,262AC,242CC,262BC.(QTY : 13 EA)",,,"9"
"C25 B5 STUD(LOCK) CEILING PANEL WERE BROKENPOST: 252AC,252KC,261AC,251QC,262AC,261CC,231ACQTY: 7EA",,,"9"
"LH WING SLAT PANELS STUD BROKEN 20 EA",,,"9"
"LH WING UPPER SURFACE, SCREW BROKEN @10",,,"9"
"C65 B5 ALL COVER ATTENDANT SEAT AND SEAT",,,"9"
"AFT BELLY FAIRING PANEL 197GB 25 EA SCREWS AND WASHERS DAMAGE",,,"9"
"RH WING I/B FLAP T/E RIB 7-8 UPPER AND LOWER SURFACE HAS DISBOND",,,"9"
"LAVATORY L76 DOOR HINGE SCREW WAS CORROD",,,"9"
"REF CML C85 FWD WALL ARROUND DOOR LAV L3",,,"9"
"ENG#2 THERMOSTAT CONTROL TAKEN FOR SERVI","AP","AP","0"
"REF CML C88 FWD WALL ARROUND DOOR LAV L3",,,"9"
"ENG#1 FWD STRUT ACCESS PANEL SURFACE PAINT HAS PEEL OFF","WSPT","WSPT","4"
"RH SLAT ACCESS PANEL NO 16 HAS ERROSION","AP,WSPT,WSSR","AP","0"
"LH WING FUEL TANK SCREW FOUND COROSION 50 EA P/N NAS1790-4R6",,,"9"
"C11 B6 SCREW AND WASHER DUCT AIR CHILLER GALLEY 6 WERE CORROSSION",,,"9"
"C19 PAN FLOOR L74 WAS BROKE",,,"9"
"LH SIDE MOVABLE FAIRING #4 INNER SURFACE",,,"9"
"RH SIDE MOVABLE FAIRING #3 INNER SURFACE SKIN DOUBLER DELAMINATION",,,"9"
"RUDDER TRAILING EDGE RIB 9 - 10 BULGING",,,"9"
"FWD CARGO THE DOOR LIFT ACTUATORS BOTH A","AP","AP","0"
"LH WING - FAIRING 533 AB FASTENERS ARE R","WSSR","WSSR","9"
"FUSELAGE - PANEL 192KB INNER SKIN HAS P","WSPT,WSSR","WSPT","4"
"LH ELEVATOR BUSHINGS AT THE LUG FOR THE","AP,WSSR","AP","0"
"THE INBD LOWER EDGE SEAL ON THE L/H AILE","AP","AP","0"
"RH THS INSPECTION COVER PATCH BEHIND RH","WSPT,WSSR","WSPT","4"
"THE INBD FLAP HAS NUMEROUS NICKS IN THE","WSSR","WSSR","9"
"LH WING - FAIRING 532 CB THE OUTBORD EDG","AP,STR","AP","0"
"BONDING AT FWD NLG DOOR LH FRAYING 2EA","EA","EA","1"
"RH FWD BELLY FAIRING PANEL 192AB PAINT C","WSPT","WSPT","4"
"BULK CARGO DOOR NEED PAINT TOUCH UP REPA","WSPT","WSPT","4"
"LH AFT LOWER ENTRY DOOR YELLOW LINE TAPE","WSPT","WSPT","4"
"LH FIXED FAIRING TIP PAINT PEEL OFF","WSPT","WSPT","4"
"EXTERNAL POWER LATCH SPRING BROKEN 3EA","STR","STR","3"
"SIGN OF LEAK AT CENTER FUSELAGE","AP","AP","0"
"ENG#2 SPINNER CONE PAINT PEEL OFF","AP,Repair Eng/APU Chemical Cleaning,Repair Eng/APU Material Painting","AP","0"
"RH FORWARD BELLY FAIRING SUPPORT STRUCTU","NA,Repair Eng/APU Laboratorium,STR,WSPT,WSSR,WSST","NA","8"
"PLACARD TOW POSITION AT NLG SUMMING TEAR","AP","AP","0"
