"DESCRIPTION"	"SKILL"	"SKILL_ACTIVE"
"HYD #2 DEMAND PUMP CB ( H - 1) POP OUT M"	"EA"	"EA"
"LH HORSTAB OUTBOARD L/E FOUND MULTIIPLE"	"WSSR"	"WSSR"
"AFT CARGO DOOR HAS DENT"	"AP,WSSR"	"EA"
"EXTERNAL UPPER SKIN CORRODED BS 380 STR"	"EA,STR,WSNC,WSPT"	"EA"
"LH WING SEAL-AILERON HINGE FITTING TAKEN"	"AP"	"EA"
"PRINT PAPER EMPTY"	"EA"	"EA"
"REF 2066784: ADD- EPLS INFRONT OF LAV 76"	"CBN"	"CBN"
"LH WING I/B MID FLAP RUBBER SEAL NOT PROPER INSTALL POST OUTBD SIDE"	"AP"	"AP"
"REQUIRES DEEP CLEANING AT THE AREA OF FO"	"WSPT"	"WSPT"
"LH L/E HORSTAB FOUND DENT"	"AP,STR,WSNC,WSST"	"AP"
"NOZZLE ASSY COMMON #1 ALL SEALANT FRAYED"	"WSSR"	"WSSR"
"RUBSTRIP BROKE POST ATTD SEAT AFT GALLEY"	"WSSS"	"WSSS"
"SLIDER OF ICE DRAWER G4R NOT INSTALL 1 E"	"CBN"	"CBN"
"WASHER SCREW HANDSET COVER ATTD SWIVLE M"	"WSSS"	"WSSS"
"PFR FAILURE MESSAGES SHOW : 22-82-12 AFS:MCDU1 (FW DISC)/FMGC"	"EA"	"EA"
"ATT SEAT AFT LH, SPACER DOOR MISSING 2EA"	"WSSS"	"WSSS"
"3RD OCCUPANT SEAT, BACKREST CUSHION IMPR"	"WSSS"	"WSSS"
"LWR FUSELAGE ACM DOOR PANEL 191NL FUNCTURE AT INNER FACE"	"WSPT,WSST"	"WSPT"
"ENG#1 LH T/R SLEEVE WIRE MESH TEAR OFF"	"WSST"	"WSST"
"HORSTAB JACKSCREW AREA SVC LT NOT ILL"	"AP,EA"	"AP"
"BRACKET HEADREST Y/CLASS SEAT BROKEN 4EA"	"CBN,WSST"	"CBN"
"LH WING REFURLING PANEL INB BRACKET HANGER CHAIN DAMAGE 2EA"	"AP,STR"	"AP"
"PYLON #2 AFT FAIRING RIVETS LOOSE 30EA"	"AP,STR"	"AP"
"FWD CARGO PDU MANUAL WIRE CONNECTION STA 730 RH SIDE NOT PROPER INSTALL"	"AP"	"AP"
"R/H WING REFUEL/DEFUEL COUPLING CHAIN AND FASTENER ARE MISSING"	"AP"	"EA"
"LH ENG CNA OUTER DUCT SPLICE TEAR RH SID"	"WSSR"	"WSSR"
"DURING FUNC TEST DOOR MOUNTED 2LH NOT MA"	"CBN"	"CBN"
"UPPER SIDE PANEL FLOOR LH #1 PN D5367401100000 FWD CARGO PUNCTURE"	"WSSR"	"WSSR"
"FWD CEILING STUD TAKEN FOR VT-IDR 1EA"	"CBN"	"CBN"
"REDUCER CREW OXY PRESSURE OUT OF LIMIT 417U4222-7"	"CBN"	"CBN"
"RH WING UPPER SKIN IN L/E INB SIDE PYLON #3 HEAD RIVET LOOSE 5EA"	"STR"	"STR"
"RH UPPER DECK ENTRY DOOR AFT AND FWD UPP"	"NA,WSNC"	"NA"
"LESSOR FINDING - TOP SIDE OF AVIONICS VE"	"WSPT"	"WSPT"
"AFT CARGO CEILING PANEL #4 BLOW OUT PANEL BEND OUT"	"WSPT,WSSR"	"WSPT"
"ALL COCKPIT PANEL PAINT DISCOLOURATION"	"CBN,WSCN,WSSS"	"CBN"
"R/H WING I/B FWRD FAIRING FUEL PUMP EROSION"	"AP"	"EA"
"ATTD SEAT BELT WAS DIRTY POST DOOR 1RH(2"	"CBN"	"CBN"
"LESSOR FINDING - ROUGH SURFACE FINISH ON"	"WSPT"	"WSPT"
"LESSOR FINDING - DEEP GROOVE MARK ON RH"	"AP,STR"	"AP"
"WINDOW #3 LH AND RH NEED RESEAL AFTER IN"	"STR"	"EA"
"RH WING TIP REAR AREA LIGHT CORROSION"	"WSST"	"WSST"
"MODIFICATION ON LH MLG RIB 6"	"Repair Eng/APU Electro Plating,STR,WSNC,WSPT,WSST"	"Repair Eng/APU Electro Plating"
"AIR COND LOVER POST FWD RH LOOSE"	"CBN"	"CBN"
"LH WING KRUEGER #11 FOLDING NOSE RUBBER SEAL TEAR OFF O/B SIDE"	"AP"	"AP"
"ENG #2 SHIM AND SCREW LATCH AT I/B AND 0/B TRUSH REVERSE CORROSION"	"AP"	"AP"
"CSMG FLEXHOSE PN AE709150-75 WAS LEAK"	"AP"	"AP"
"AML SEQ.50:RH WING TANK PANEL 632CB TAKE"	"AP"	"AP"
"N/S AND FS SIGN POST M/D AND U/D NOT COMES ON"	"CBN"	"CBN"
"STOPER RESTRAINT FO SEAT DID NOT INSTALL"	"CBN"	"CBN"
"ENG#3 RH T/R BLOCKER DOOR NO. 4 TEFLON S"	"AP,WSST"	"AP"
"AFT CARGO SIDEWALL LH#4 HAS TEAR"	"AP,STR"	"EA"
"P.O.B POST 4LH EXPIRED (PN: 9700-C1A-BF23B, SN: 475363)"	"CBN"	"CBN"
"FWD CARGO NEED 70 SCREW FOR CEILING"	"AP"	"AP"
"RH WING-INBD LWR TRAILING EDGE FIXED PAN"	"AP"	"AP"
