"ID","REVNR","ac_reg","ac_type","main_type","SEQ","AUFNR","DESCRIPTION","TASK_CODE","ZONE_AREA","ZONE_AREA_NEW","PHASE","SKILL","SKILL_ACTIVE","PMHRS","ACTMHRS","DAY","TRACK_STATUS","TRACK_STATUS_ID","TRACK_STATUS_SHOP","TRACK_STATUS_SHOP_ID","STATUS","SYSTEM_STATUS","MHRSCONF","MATCONS","DATE_DONE","REVIEW_POSITION","REVIEW_POSITION_ID","LONGSYSSTAT","REMARK","SHOP_REMARK","DATE_DONE_PW","DFPDATE","DFPDATENR","DFPDATENS","DFPSTATUS","DFPFINDING_CTG","DFPFINDING_RMK","MRM_STATUS","QTYREQ","QTYCON","CREATED_AT","UPDATED_AT","CUST_RMK","CUST_REF","ORDERFLAG"
"436317","00095201","VT-IFJ","320-200","VT-IFJ A320 INDIGO 4C/6Y+EO PAINT FEB 19","87.1","802746264","262100-05-1 : OPERATIONAL CHECK OF FIRECONTROL PUSH BUTTON SWITCH SUB FUNCTIONS RELATED TO ENGINE SHUTDOWN ANDISOLATION","OPC","Cockpit Area",,"OPC & FUC","EA,NA","EA","1","1",,"OPEN",,,,"DONE","DONE","n","n","2/5/2019",,,"REL MEBS NMAT PRC",,,,,,,,,,,,,,"11/10/2021 08:56:13.93",,,
"436347","00095201","VT-IFJ","320-200","VT-IFJ A320 INDIGO 4C/6Y+EO PAINT FEB 19","117.1","802746294","275400-01-1-LH : LH FLAP TRANSMISSIONASSY - DETAILED INSPECTION OF TRANSMISSION ASSY","DVI","Wing & Flight Control Area",,"Inspection & Check","AP,NA","AP","2","2",,"OPEN",,,,"DONE","DONE","n","n","2/5/2019",,,"REL CSER MEBS NMAT PRC",,,,,,,,,,,,,,"11/10/2021 08:56:15.27",,,
"436367","00095201","VT-IFJ","320-200","VT-IFJ A320 INDIGO 4C/6Y+EO PAINT FEB 19","137.1","802746314","281600-01-1-RH : FUEL RECIRCULATIONCOOLING - OPERATIONAL CHECK OF RH PYLONCHECK VALVE TO ENSURE VALVE NOTFAILED OPEN","OPC","Engines & Pylons Area",,"OPC & FUC","AP,NA","AP","0.2","0.2",,"OPEN",,,,"DONE","DONE","n","n","2/5/2019",,,"REL CSER MEBS NMAT PRC",,,,,,,,,,,,,,"11/10/2021 08:56:16.157",,,
"436384","00095201","VT-IFJ","320-200","VT-IFJ A320 INDIGO 4C/6Y+EO PAINT FEB 19","154.1","802746331","301151-02-1-RH : RIGHT WING ANTI-ICECONTROL VALVE - REMOVE WING ANTI-ICINGFILTER FOR IN SHOP CLEANING","RST","Wing & Flight Control Area",,"Removal","AP,NA","AP","0.4","0.4",,"OPEN",,,,"DONE","DONE","n","n","2/5/2019",,,"REL CSER GMPS MACM MEBS PRC",,,,,,,,,,,,,,"11/10/2021 08:56:16.93",,,
"436419","00095201","VT-IFJ","320-200","VT-IFJ A320 INDIGO 4C/6Y+EO PAINT FEB 19","189.1","802746366","323105-05-1 : NORMAL EXTENSION ANDRETRACTION - FUNCTIONAL CHECK OF THE NLGDOOR ACTUATING CYLINDER.","FNC","Landing Gears Area",,"OPC & FUC","AP,NA","AP","1","1",,"OPEN",,,,"DONE","DONE","n","n","2/5/2019",,,"REL CSER MEBS NMAT PRC",,,,,,,,,,,,,,"11/10/2021 08:56:18.477",,,
"436468","00095201","VT-IFJ","320-200","VT-IFJ A320 INDIGO 4C/6Y+EO PAINT FEB 19","238.1","802746415","527300-01-1 : OPERATIONAL CHECK OFEMERGENCY ESCAPE SLIDE RELEASE WARNING","OPC","Cockpit Area",,"OPC & FUC","CBN,NA","CBN","0.2","0.2",,"OPEN",,,,"DONE","DONE","n","n","2/5/2019",,,"REL CSER MEBS NMAT PRC",,,,,,,,,,,,,,"11/10/2021 08:56:20.67",,,
"436469","00095201","VT-IFJ","320-200","VT-IFJ A320 INDIGO 4C/6Y+EO PAINT FEB 19","239.1","802746416","527300-02-1 : OPERATIONAL CHECK OFRESIDUAL CABIN PRESSURE WARNING AND FUNCTIONAL CHECK OF DIFFERENTIALPRESSURE SWITCH","FNC","Fuselage Area",,"OPC & FUC","CBN,NA","CBN","0.2","0.2",,"OPEN",,,,"DONE","DONE","n","n","2/5/2019",,,"REL CSER MEBS NMAT PRC",,,,,,,,,,,,,,"11/10/2021 08:56:20.717",,,
"436473","00095201","VT-IFJ","320-200","VT-IFJ A320 INDIGO 4C/6Y+EO PAINT FEB 19","243.1","802746420","528221-01-1 : NLG SECONDARY DOOR HINGES","DVI","Cabin Area",,"Inspection & Check","AP,NA","AP","0.6","0.603",,"OPEN",,,,"DONE","DONE","n","n","24/10/2020",,,,,,,,,,,,,,,,,"11/10/2021 08:56:20.907",,,
"436513","00095201","VT-IFJ","320-200","VT-IFJ A320 INDIGO 4C/6Y+EO PAINT FEB 19","283.1","802746460","534160-01-3 : AFT CARGO DOOR CUTOUTLATERAL FRAMES - GVI OF AFT CARGO DOORCUTOUT, VISIBLE PART OF LATERALFRAMES.","GVI","Cargo Area",,"Inspection & Check","AP,NA","AP","0.4","0.4",,"OPEN",,,,"DONE","DONE","n","n","2/5/2019",,,"REL CSER MEBS NMAT PRC",,,,,,,,,,,,,,"11/10/2021 08:56:22.83",,,
"436518","00095201","VT-IFJ","320-200","VT-IFJ A320 INDIGO 4C/6Y+EO PAINT FEB 19","288.1","802746465","534195-01-2 : CABIN FLOOR STRUCTURE AFTENTRANCE AREA - DETAILED INSPECTIONOF CABIN FLOOR STRUCTURE ANDSTRUCTURE BELOW AFT ENTRANCE AREA; BETWEEN FR 66","DVI","Fuselage Area",,"Inspection & Check","AP,NA","AP","1.4","1.4",,"OPEN",,,,"DONE","DONE","n","n","2/5/2019",,,"REL CSER MEBS NMAT PRC",,,,,,,,,,,,,,"11/10/2021 08:56:23.077",,,
"436246","00095201","VT-IFJ","320-200","VT-IFJ A320 INDIGO 4C/6Y+EO PAINT FEB 19","16.1","802745340","OPN-008 : LH ENGINE & LH COMMON NOZZLEASSEMBLY REMOVAL","REM","Engines & Pylons Area",,"Removal","AP,NA","AP","60","60",,"OPEN",,,,"DONE","DONE","n","n","2/6/2019",,,"REL MEBS NMAT PRC",,,,,,,,,,,,,,"11/10/2021 08:56:10.84",,,
"436262","00095201","VT-IFJ","320-200","VT-IFJ A320 INDIGO 4C/6Y+EO PAINT FEB 19","32.1","802746149","200003-02-1 : HIRF/LIGHTNING PROTECTION-VERTICAL FIN - GVI OF ELEMENTS FITTED ON THE FOLLOWING HARNESSES: -4202VB, 4204VB","GVI","APU & Empennage Area",,"Inspection & Check","EA,NA","EA","0.4","0.4",,"OPEN",,,,"DONE","DONE","n","n","2/5/2019",,,"REL MEBS NMAT PRC",,,,,,,,,,,,,,"11/10/2021 08:56:11.56",,,
"436271","00095201","VT-IFJ","320-200","VT-IFJ A320 INDIGO 4C/6Y+EO PAINT FEB 19","41.1","802746158","200127-05-1 : REAR AVIONIC COMP -GENERAL VISUAL INSPECTION OF 80, 63, 187,188 VU INSTALLED IN THE REARAVIONIC COMPARTMENT (EWIS)","GVI","Fuselage Area",,"Inspection & Check","AP,NA","AP","1","1",,"OPEN",,,,"DONE","DONE","n","n","2/5/2019",,,"REL MEBS NMAT PRC",,,,,,,,,,,,,,"11/10/2021 08:56:11.953",,,
"436275","00095201","VT-IFJ","320-200","VT-IFJ A320 INDIGO 4C/6Y+EO PAINT FEB 19","45.1","802746222","200137-01-1 : BAY BEHIND FWD CARGO COMP- CLEANING OF EWIS INSTALLED IN THEBAY BEHIND FWD CARGO COMPARTMENT(ONLY IF CONTAMINATED) (EWIS)","RST","Cargo Area",,"Removal","AP,NA","AP","0.6","0.6",,"OPEN",,,,"DONE","DONE","n","n","2/5/2019",,,"REL MEBS NMAT PRC",,,,,,,,,,,,,,"11/10/2021 08:56:12.127",,,
"436299","00095201","VT-IFJ","320-200","VT-IFJ A320 INDIGO 4C/6Y+EO PAINT FEB 19","69.1","802746246","237100-01-1 : COCKPIT VOICE RECORDER -OPERATIONAL CHECK OF CVR AND CVR-CHANNEL RECORDING","OPC","Cockpit Area",,"OPC & FUC","EA,NA","EA","0.8","0.8",,"OPEN",,,,"DONE","DONE","n","n","2/5/2019",,,"REL MEBS NMAT PRC",,,,,,,,,,,,,,"11/10/2021 08:56:13.14",,,
"436330","00095201","VT-IFJ","320-200","VT-IFJ A320 INDIGO 4C/6Y+EO PAINT FEB 19","100.1","802746277","272145-01-1 : RUDDER CABLE TENSIONREGULATOR - CHECK TENSION REGULATOR POINTER IS WITHIN THE LIMITS","OPC","Fuselage Area",,"OPC & FUC","AP,NA","AP","0.8","0.8",,"OPEN",,,,"DONE","DONE","n","n","2/5/2019",,,"REL MEBS NMAT PRC",,,,,,,,,,,,,,"11/10/2021 08:56:14.51",,,
"436333","00095201","VT-IFJ","320-200","VT-IFJ A320 INDIGO 4C/6Y+EO PAINT FEB 19","103.1","802746280","274000-07-1 : TRIMMABLE HORIZONTALSTABILIZER - LUBRICATE THS BEARINGS ANDATTACHMENT FITTINGS WITH GREASEMAT. NO. 04-037","LUB","APU & Empennage Area",,"Lubrication","AP,NA","AP","0.2","0.2",,"OPEN",,,,"DONE","DONE","n","n","2/5/2019",,,"REL CNF MACM MEBS PRC",,,,,,,,,,,,,,"11/10/2021 08:56:14.647",,,
"436353","00095201","VT-IFJ","320-200","VT-IFJ A320 INDIGO 4C/6Y+EO PAINT FEB 19","123.1","802746300","276400-02-1-RH : RH SPOILER AND","FNC","Cabin Area",,"Inspection & Check","AP,NA","AP","2.8","2.8",,"OPEN",,,,"DONE","DONE","n","n","24/10/2020",,,,,,,,,,,,,,,,,"11/10/2021 08:56:15.537",,,
"436365","00095201","VT-IFJ","320-200","VT-IFJ A320 INDIGO 4C/6Y+EO PAINT FEB 19","135.1","802746312","281500-01-1 : INTERCELL TRANSFER SYSTEM- OPERATIONAL CHECK OF INDIVIDUAL TRANSFER VALVES TO ENSURE VALVE SHAFTROTATES VALVE TO OPEN POSITION","OPC","Cockpit Area",,"OPC & FUC","EA,NA","EA","0.2","0.2",,"OPEN",,,,"DONE","DONE","n","n","2/5/2019",,,"REL CSER MEBS NMAT PRC",,,,,,,,,,,,,,"11/10/2021 08:56:16.07",,,
"436386","00095201","VT-IFJ","320-200","VT-IFJ A320 INDIGO 4C/6Y+EO PAINT FEB 19","156.1","802746333","302100-I3-1-RH : RH ENGINE AIR INTAKEICE PROTECTION - DETAILED INSPECTIONOF THE ENGINE ANTI-ICE SUPPLYDUCTS METALLIC FIRE SEAL.","DVI","Engines & Pylons Area",,"Inspection & Check","AP,NA","AP","1.4","1.4",,"OPEN",,,,"DONE","DONE","n","n","2/5/2019",,,"REL CSER MEBS NMAT PRC",,,,,,,,,,,,,,"11/10/2021 08:56:17.023",,,
"436413","00095201","VT-IFJ","320-200","VT-IFJ A320 INDIGO 4C/6Y+EO PAINT FEB 19","183.1","802746360","323100-03-1 : NORMAL EXTENSION ANDRETRACTION - OPERATIONAL CHECK OF RETRACTION INHIBITION BAULK","OPC","Cockpit Area",,"OPC & FUC","AP,NA","AP","0.2","0.2",,"OPEN",,,,"DONE","DONE","n","n","2/5/2019",,,"REL CSER MEBS NMAT PRC",,,,,,,,,,,,,,"11/10/2021 08:56:18.217",,,
"436429","00095201","VT-IFJ","320-200","VT-IFJ A320 INDIGO 4C/6Y+EO PAINT FEB 19","199.1","802746376","342200-01-1 : STANDBY COMPASS -OPERATIONAL CHECK OF THE STANDBY COMPASS INCLUDING LIGHT TEST ANDVISUAL CHECK","OPC","Cockpit Area",,"OPC & FUC","EA,NA","EA","0.2","0.2",,"OPEN",,,,"DONE","DONE","n","n","2/5/2019",,,"REL CSER MEBS NMAT PRC",,,,,,,,,,,,,,"11/10/2021 08:56:18.917",,,
"436502","00095201","VT-IFJ","320-200","VT-IFJ A320 INDIGO 4C/6Y+EO PAINT FEB 19","272.1","802746449","533153-02-1 : PRESSURE BULKHEAD AT FR35 AFT FACE - GVI OF PRESSURE BULKHEAD AFT FACE AND LOWER SKIN OFPRESSURE DECK LOWER SURFACE","GVI","Fuselage Area",,"Inspection & Check","AP,NA","AP","0.6","0.6",,"OPEN",,,,"DONE","DONE","n","n","2/5/2019",,,"REL CSER MEBS NMAT PRC",,,,,,,,,,,,,,"11/10/2021 08:56:22.313",,,
"436551","00095201","VT-IFJ","320-200","VT-IFJ A320 INDIGO 4C/6Y+EO PAINT FEB 19","321.1","802746498","571122-01-1 : DETAILED INSPECTION OFCENTER WING BOX, REAR SPAR AFT FACE","DVI","Fuselage Area",,"Inspection & Check","AP,NA","AP","3","3",,"OPEN",,,,"DONE","DONE","n","n","2/5/2019",,,"REL CSER MEBS NMAT PRC",,,,,,,,,,,,,,"11/10/2021 08:56:24.6",,,
"436560","00095201","VT-IFJ","320-200","VT-IFJ A320 INDIGO 4C/6Y+EO PAINT FEB 19","330.1","802746507","572054-02-1-LH : DETAILED INSPECTION OF","DVI","Cabin Area",,"Inspection & Check","AP,NA","AP","0.4","0.403",,"OPEN",,,,"DONE","DONE","n","n","24/10/2020",,,,,,,,,,,,,,,,,"11/10/2021 08:56:25",,,
"436278","00095201","VT-IFJ","320-200","VT-IFJ A320 INDIGO 4C/6Y+EO PAINT FEB 19","48.1","802746225","200161-01-1 : BULK CARGO COMPARTMENT -CLEANING OF EWIS INSTALLED IN THE BULK CARGO COMPARTMENT (ONLY IFCONTAMINATED) (EWIS)","RST","Cargo Area",,"Removal","AP,NA","AP","0.6","0.6",,"OPEN",,,,"DONE","DONE","n","n","2/5/2019",,,"REL MEBS NMAT PRC",,,,,,,,,,,,,,"11/10/2021 08:56:12.253",,,
"436395","00095201","VT-IFJ","320-200","VT-IFJ A320 INDIGO 4C/6Y+EO PAINT FEB 19","165.1","802746342","321101-01-2-RH : MAIN GEAR - DETAILEDINSPECTION OF RH MAIN LANDING GEAR, SLIDING TUBE (TWIN WHEEL), BRAKEATTACHMENT FLANGE, UPPER AND LOWER TORQUE LINKS","DVI","Landing Gears Area",,"Inspection & Check","AP,NA","AP","0.8","0.8",,"OPEN",,,,"DONE","DONE","n","n","2/5/2019",,,"REL CSER MEBS NMAT PRC",,,,,,,,,,,,,,"11/10/2021 08:56:17.42",,,
"436448","00095201","VT-IFJ","320-200","VT-IFJ A320 INDIGO 4C/6Y+EO PAINT FEB 19","218.1","802746395","384242-01-1 : AIR SUPPLY - DISCARD","DIS","Cabin Area",,"Inspection & Check","CBN,NA","CBN","0.6","0.6",,"OPEN",,,,"DONE","DONE","n","n","24/10/2020",,,,,,,,,,,,,,,,,"11/10/2021 08:56:19.743",,,
"436485","00095201","VT-IFJ","320-200","VT-IFJ A320 INDIGO 4C/6Y+EO PAINT FEB 19","255.1","802746432","531164-01-1 : FUSELAGE FR 15-21 -DETAILED INSPECTION OF FUSELAGE INTERNALSTRUCTURE, BELOW FORWARDPASSENGER/CREW DOOR AND CABIN FLOOR LEVEL, FROM FR 15","DVI","Fuselage Area",,"Inspection & Check","AP,NA","AP","2","2",,"OPEN",,,,"DONE","DONE","n","n","2/5/2019",,,"REL CSER MEBS NMAT PRC",,,,,,,,,,,,,,"11/10/2021 08:56:21.487",,,
"436504","00095201","VT-IFJ","320-200","VT-IFJ A320 INDIGO 4C/6Y+EO PAINT FEB 19","274.1","802746451","533900-01-1 : FUSELAGE DRAINAGE -OPERATIONAL CHECK OF RUBBER FLAP DRAIN VALVE HOLES IN PRESSURE FLOORFROM MLG BAY","OPC","Fuselage Area",,"OPC & FUC","AP,NA","AP","0.2","0.2",,"OPEN",,,,"DONE","DONE","n","n","2/5/2019",,,"REL CSER MEBS NMAT PRC",,,,,,,,,,,,,,"11/10/2021 08:56:22.407",,,
"436534","00095201","VT-IFJ","320-200","VT-IFJ A320 INDIGO 4C/6Y+EO PAINT FEB 19","304.1","802746481","551020-01-1-LH : DETAILED INSPECTION OF","DVI","Cabin Area",,"Inspection & Check","AP,NA","AP","1.6","1.6",,"OPEN",,,,"DONE","DONE","n","n","24/10/2020",,,,,,,,,,,,,,,,,"11/10/2021 08:56:23.827",,,
"436543","00095201","VT-IFJ","320-200","VT-IFJ A320 INDIGO 4C/6Y+EO PAINT FEB 19","313.1","802746490","554003-01-1 : SPECIAL DETAILED","SDI","Cabin Area",,"Inspection & Check","AP,NA,WSNC","AP","8","8",,"OPEN",,,,"DONE","DONE","n","n","24/10/2020",,,,,,,,,,,,,,,,,"11/10/2021 08:56:24.237",,,
"436578","00095201","VT-IFJ","320-200","VT-IFJ A320 INDIGO 4C/6Y+EO PAINT FEB 19","348.1","802746525","572610-02-1-LH : DETAILED INSPECTION OFLEFT OUTER WING, FLAP TRACK BEAMS 2,3,4 AFT SPIGOT","DVI","Wing & Flight Control Area",,"Inspection & Check","AP,NA","AP","0.6","0.6",,"OPEN",,,,"DONE","DONE","n","n","2/5/2019",,,"REL CNF GMPS MACM MEBS PRC",,,,,,,,,,,,,,"11/10/2021 08:56:25.847",,,
"436585","00095201","VT-IFJ","320-200","VT-IFJ A320 INDIGO 4C/6Y+EO PAINT FEB 19","355.1","802746532","575151-02-1-RH : GENERAL VISUALINSPECTION OF RIGHT OUTER WING, TRAILING EDGE, FALSE REAR SPAR, FORWARDAND AFT FACES","GVI","Wing & Flight Control Area",,"Inspection & Check","AP,NA","AP","0.6","0.6",,"OPEN",,,,"DONE","DONE","n","n","2/5/2019",,,"REL CSER MEBS NMAT PRC",,,,,,,,,,,,,,"11/10/2021 08:56:26.163",,,
"436618","00095201","VT-IFJ","320-200","VT-IFJ A320 INDIGO 4C/6Y+EO PAINT FEB 19","388.1","802746565","752100-I2-1-LH : CHECK ZONE 2VENTILATION INTAKE HOLES (IN THRUST REVERSERC-DUCTS) AND EXIT FORBLOCKAGE (LH ENGINE)","CHK","Engines & Pylons Area",,"Inspection & Check","AP,NA","AP","1","1",,"OPEN",,,,"DONE","DONE","n","n","2/5/2019",,,"REL CSER MEBS NMAT PRC",,,,,,,,,,,,,,"11/10/2021 08:56:27.657",,,
"436239","00095201","VT-IFJ","320-200","VT-IFJ A320 INDIGO 4C/6Y+EO PAINT FEB 19","9.1","802745313","OPN-001 : ACCESS DOOR - OPEN/ REMOVE","REM","Fuselage Area",,"Removal","AP,NA","AP","2","2",,"OPEN",,,,"DONE","DONE","n","n","2/5/2019",,,"REL MEBS NMAT PRC",,,,,,,,,,,,,,"11/10/2021 08:56:10.527",,,
"436248","00095201","VT-IFJ","320-200","VT-IFJ A320 INDIGO 4C/6Y+EO PAINT FEB 19","18.1","802745342","CLS-001 : ACCESS DOOR - CLOSE/ INSTALL","INS","Fuselage Area",,"Installation","AP,NA,STR","AP","3","3",,"OPEN",,,,"DONE","DONE","n","n","2/5/2019",,,"REL MEBS NMAT PRC",,,,,,,,,,,,,,"11/10/2021 08:56:10.93",,,
"436253","00095201","VT-IFJ","320-200","VT-IFJ A320 INDIGO 4C/6Y+EO PAINT FEB 19","23.1","802745347","CLS-006 : CABIN AREA INSTALLATION","INS","Cabin Area",,"Installation","CBN,NA","CBN","96","96",,"OPEN",,,,"DONE","DONE","n","n","2/5/2019",,,"REL MEBS NMAT PRC",,,,,,,,,,,,,,"11/10/2021 08:56:11.157",,,
"436257","00095201","VT-IFJ","320-200","VT-IFJ A320 INDIGO 4C/6Y+EO PAINT FEB 19","27.1","802746144","200001-02-1-LH : HIRF/LIGHTNINGPROTECTION - LH WING - CHECK THAT THE CONNECTOR IS CORRECTLY TIGHTENEDBY MEASUREMENT OF THE RESISTANCE WITH A LOOP TESTER","FNC","Wing & Flight Control Area",,"OPC & FUC","EA,NA","EA","2","2",,"OPEN",,,,"DONE","DONE","n","n","2/5/2019",,,"REL MEBS NMAT PRC",,,,,,,,,,,,,,"11/10/2021 08:56:11.34",,,
"436268","00095201","VT-IFJ","320-200","VT-IFJ A320 INDIGO 4C/6Y+EO PAINT FEB 19","38.1","802746155","200125-05-1 : LATERAL AVIONIC COMP -GVIOF 105, 106, 103, 107 AND 70 VUS INSTALLED IN THE LATERAL AVIONICCOMPARTMENT (EWIS)","GVI","Fuselage Area",,"Inspection & Check","AP,NA","AP","1","1",,"OPEN",,,,"DONE","DONE","n","n","2/5/2019",,,"REL MEBS NMAT PRC",,,,,,,,,,,,,,"11/10/2021 08:56:11.82",,,
"436277","00095201","VT-IFJ","320-200","VT-IFJ A320 INDIGO 4C/6Y+EO PAINT FEB 19","47.1","802746224","200151-01-1 : AFT CARGO COMPARTMENT -CLEANING OF EWIS INSTALLED IN THE AFTCARGO COMPARTMENT (ONLY IFCONTAMINATED) (EWIS)","RST","Cargo Area",,"Removal","AP,NA","AP","1","1",,"OPEN",,,,"DONE","DONE","n","n","2/5/2019",,,"REL MEBS NMAT PRC",,,,,,,,,,,,,,"11/10/2021 08:56:12.21",,,
"436289","00095201","VT-IFJ","320-200","VT-IFJ A320 INDIGO 4C/6Y+EO PAINT FEB 19","59.1","802746236","213100-01-1 : PRESSURE CONTROL ANDMONITORING - OPERATIONAL CHECK OF SYSTEMVIA MCDU","OPC","Cockpit Area",,"OPC & FUC","AP,NA","AP","0.2","0.2",,"OPEN",,,,"DONE","DONE","n","n","2/5/2019",,,"REL MEBS NMAT PRC",,,,,,,,,,,,,,"11/10/2021 08:56:12.72",,,
"436324","00095201","VT-IFJ","320-200","VT-IFJ A320 INDIGO 4C/6Y+EO PAINT FEB 19","94.1","802746271","271400-02-2-LH : AILERON HYDRAULICACTUATION LH SIDE - CHECK AILERON SERVOCONTROL AND HINGE BEARINGS FOREXCESSIVE PLAY AND CONDITION","FNC","Wing & Flight Control Area",,"OPC & FUC","AP,NA","AP","2","2",,"OPEN",,,,"DONE","DONE","n","n","2/5/2019",,,"REL MEBS NMAT PRC",,,,,,,,,,,,,,"11/10/2021 08:56:14.243",,,
"436339","00095201","VT-IFJ","320-200","VT-IFJ A320 INDIGO 4C/6Y+EO PAINT FEB 19","109.1","802746286","274451-08-1 : THS ACTUATOR - CHECK","FNC","Cabin Area",,"Inspection & Check","AP,NA","AP","0.2","0.2",,"OPEN",,,,"DONE","DONE","n","n","24/10/2020",,,,,,,,,,,,,,,,,"11/10/2021 08:56:14.917",,,
"436342","00095201","VT-IFJ","320-200","VT-IFJ A320 INDIGO 4C/6Y+EO PAINT FEB 19","112.1","802746289","275100-02-1 : FLAPS - OPERATIONALCHECK OF FLAP INTERCONNECTING STRUT ANDFLAP DISCONNECT PROXIMITYSENSORS","OPC","Cockpit Area",,"OPC & FUC","AP,NA","AP","0.2","0.2",,"OPEN",,,,"DONE","DONE","n","n","2/5/2019",,,"REL CSER MACM MEBS PRC",,,,,,,,,,,,,,"11/10/2021 08:56:15.05",,,
"436382","00095201","VT-IFJ","320-200","VT-IFJ A320 INDIGO 4C/6Y+EO PAINT FEB 19","152.1","802746329","293400-01-1 : RESERVOIR PRESSURIZATIONINDICATING - OPERATIONAL CHECK OF RESERVOIR LOW AIR PRESSURE WARNING","OPC","Cockpit Area",,"OPC & FUC","AP,NA","AP","0.2","0.2",,"OPEN",,,,"DONE","DONE","n","n","2/5/2019",,,"REL CSER MEBS NMAT PRC",,,,,,,,,,,,,,"11/10/2021 08:56:16.84",,,
